key,strategy,symbol,params,trades_per_day,is_n,is_pf,is_exp,oos_n,oos_pf,oos_exp
"orb|XAUUSD|{""rr"": 3.0, ""width_min"": 0.0}",orb,XAUUSD,"{""rr"": 3.0, ""width_min"": 0.0}",0.7900073475385746,396,0.5783016283191098,-0.3033849976122421,372,0.9675031801760205,-0.018778403598392633
"orb|XAUUSD|{""rr"": 3.0, ""width_min"": 0.5}",orb,XAUUSD,"{""rr"": 3.0, ""width_min"": 0.5}",0.6953710506980162,334,0.6030937623369363,-0.27322887462554774,342,0.9519935572073271,-0.027104240241668024
"pdhl|XAUUSD|{""rr"": 1.0}",pdhl,XAUUSD,"{""rr"": 1.0}",0.46700955180014697,215,0.6644736815168847,-0.12807329493933736,239,1.2181147853078913,0.05271048125796045
"pdhl|XAUUSD|{""rr"": 1.5}",pdhl,XAUUSD,"{""rr"": 1.5}",0.46700955180014697,215,0.7700017643003005,-0.08779231390689606,239,1.0268281817497271,0.007169637637418055
"pdhl|XAUUSD|{""rr"": 2.5}",pdhl,XAUUSD,"{""rr"": 2.5}",0.46700955180014697,215,0.7580959219636592,-0.09348185021484184,239,1.0387611745155902,0.01035864369303874
"rsi2|XAUUSD|{""lo"": 5, ""sl"": 1.5}",rsi2,XAUUSD,"{""lo"": 5, ""sl"": 1.5}",0.35282880235121233,181,1.3531862445550922,0.09586985280233146,162,0.9846246373042756,-0.005502728585451587
"rsi2|XAUUSD|{""lo"": 5, ""sl"": 3.0}",rsi2,XAUUSD,"{""lo"": 5, ""sl"": 3.0}",0.33739897134459956,174,1.4247767575836496,0.05729157425615054,154,1.112705232597029,0.01913789932299223
"rsi2|XAUUSD|{""lo"": 10, ""sl"": 1.5}",rsi2,XAUUSD,"{""lo"": 10, ""sl"": 1.5}",0.6593681116825864,352,1.1131951311097956,0.03572147930565483,289,1.0356504433702927,0.012253944264736263
"rsi2|XAUUSD|{""lo"": 10, ""sl"": 3.0}",rsi2,XAUUSD,"{""lo"": 10, ""sl"": 3.0}",0.633651726671565,340,1.258833334583009,0.03899621246502916,276,1.008755799697129,0.0016274485771722125
"breakout|XRPUSD|{""n"": 20, ""sl"": 2.0}",breakout,XRPUSD,"{""n"": 20, ""sl"": 2.0}",0.5766519823788546,267,1.0266678259450532,0.014285286390451056,294,1.2300791213613806,0.13107256173056755
"breakout|XRPUSD|{""n"": 20, ""sl"": 3.0}",breakout,XRPUSD,"{""n"": 20, ""sl"": 3.0}",0.47180616740088105,220,1.0612300857297214,0.030520350218255138,239,1.1704962773417669,0.09419586910393449
"breakout|XRPUSD|{""n"": 55, ""sl"": 2.0}",breakout,XRPUSD,"{""n"": 55, ""sl"": 2.0}",0.3618208516886931,166,0.6731359833356385,-0.19697900163256615,186,1.3688146949713593,0.21093153568708137
"breakout|XRPUSD|{""n"": 55, ""sl"": 3.0}",breakout,XRPUSD,"{""n"": 55, ""sl"": 3.0}",0.3196769456681351,147,0.6896875580284678,-0.17385479047575916,164,1.2711914141343856,0.15231327255587715
"orb|XRPUSD|{""rr"": 1.0, ""width_min"": 0.0}",orb,XRPUSD,"{""rr"": 1.0, ""width_min"": 0.0}",1.1903083700440529,626,0.6008390751156449,-0.16090177080904847,532,0.7113937393510026,-0.10059394362415282
"orb|XRPUSD|{""rr"": 1.0, ""width_min"": 0.5}",orb,XRPUSD,"{""rr"": 1.0, ""width_min"": 0.5}",1.136857562408223,592,0.6202494161826296,-0.1468074109847636,514,0.717970221920203,-0.09716813862991103
"orb|XRPUSD|{""rr"": 2.0, ""width_min"": 0.0}",orb,XRPUSD,"{""rr"": 2.0, ""width_min"": 0.0}",1.1903083700440529,626,0.6329949355328188,-0.15800940254354345,532,0.6860298772258221,-0.11413148668575814
"orb|XRPUSD|{""rr"": 2.0, ""width_min"": 0.5}",orb,XRPUSD,"{""rr"": 2.0, ""width_min"": 0.5}",1.136857562408223,592,0.6326604276888953,-0.15221366992205285,514,0.700621232781594,-0.1064236445669366
"orb|XRPUSD|{""rr"": 3.0, ""width_min"": 0.0}",orb,XRPUSD,"{""rr"": 3.0, ""width_min"": 0.0}",1.1903083700440529,626,0.6030325932765296,-0.17196884649526697,532,0.6881624986876561,-0.11403733402618275
"orb|XRPUSD|{""rr"": 3.0, ""width_min"": 0.5}",orb,XRPUSD,"{""rr"": 3.0, ""width_min"": 0.5}",1.136857562408223,592,0.5826388183065497,-0.1741189570546032,514,0.7062315380328908,-0.10509336697105762
"pdhl|XRPUSD|{""rr"": 1.0}",pdhl,XRPUSD,"{""rr"": 1.0}",0.733920704845815,358,0.811805859522117,-0.04061733020147732,356,0.7003220736492478,-0.0697462182118958
"pdhl|XRPUSD|{""rr"": 1.5}",pdhl,XRPUSD,"{""rr"": 1.5}",0.733920704845815,358,0.814916774479554,-0.04024084333707282,356,0.7617985445033927,-0.05543835308714875
"pdhl|XRPUSD|{""rr"": 2.5}",pdhl,XRPUSD,"{""rr"": 2.5}",0.733920704845815,358,0.8385318038076418,-0.035106457479468535,356,0.8138837642443786,-0.043316181975294965
"rsi2|XRPUSD|{""lo"": 5, ""sl"": 1.5}",rsi2,XRPUSD,"{""lo"": 5, ""sl"": 1.5}",0.41938325991189424,204,0.723390778664827,-0.10507590475525239,204,0.5424151239053563,-0.20242398547214024
"rsi2|XRPUSD|{""lo"": 5, ""sl"": 3.0}",rsi2,XRPUSD,"{""lo"": 5, ""sl"": 3.0}",0.4029368575624082,195,0.8501259124770562,-0.02654144790621312,197,0.5417339690395818,-0.10669229793056903
"rsi2|XRPUSD|{""lo"": 10, ""sl"": 1.5}",rsi2,XRPUSD,"{""lo"": 10, ""sl"": 1.5}",0.8531571218795888,435,0.7378733696556506,-0.0999916201463766,395,0.6901082260358706,-0.1201454782724706
"rsi2|XRPUSD|{""lo"": 10, ""sl"": 3.0}",rsi2,XRPUSD,"{""lo"": 10, ""sl"": 3.0}",0.8254038179148311,420,0.774590216291808,-0.04329196034562559,383,0.6601610251274456,-0.07158317509580674
