lookback,btc_sma,vol_target,score,2022_pct,2022_dd,2022_sharpe,2023_pct,2023_dd,2023_sharpe,2024_pct,2024_dd,2024_sharpe,2025_pct,2025_dd,2025_sharpe,2026_pct,2026_dd,2026_sharpe
14,0,0.5,-0.3957704517652183,-12.845385842611446,-18.320377903193386,-0.48151433854953557,66.62192666466325,-19.224251535027616,1.8150179391349857,63.651725772108335,-18.382759577184117,1.9978437719514117,-7.560901893725891,-24.30033818661055,-0.1912378717292773,10.155421819214826,-23.010595542290847,0.6199400837211265
20,50,0.3,-0.4170351369550356,-11.815397175459418,-13.191433642031193,-1.1519357373305483,38.59913873425778,-9.95513194011426,2.0540476202007865,32.56190365375509,-16.203972058647032,1.729895465446207,7.180582995127427,-9.696897790779957,0.5892739371909212,5.1950512973234275,-18.08865219961039,0.47157280376882754
20,100,0.8,-0.43624542928182625,-13.888387584623308,-23.104964293033326,-0.9549705019391632,52.34388205034186,-23.576509002712775,1.5303362653793475,65.70591610185521,-31.872551186822427,1.5953065207610324,12.22353235039051,-19.649471444323442,0.5326939428530585,13.7339930768412,-9.338259367797486,0.9052978364410791
10,50,0.5,-0.44266652948173557,-14.364716171842318,-19.87317969700816,-0.8219486259726969,60.155851810532354,-13.783390186078016,1.9756376625345846,77.12347766963615,-17.53832132832184,2.4554051074969028,1.07626936115921,-15.200882162879747,0.15807483652291915,8.971611597954677,-15.476234128638621,0.6055298713499956
60,100,0.8,-0.4927037249023763,-12.98855426460367,-21.662348638961294,-0.9591925848225005,52.421891493860784,-24.32171735128351,1.359345622899684,65.8281946027013,-31.868849826585244,1.478400200923744,-4.843062780685536,-21.021049184088568,0.04287769601721269,20.398535621007753,-9.76147510973827,1.2287447539868637
60,50,0.5,-0.5337820327107136,-14.849660681154697,-19.616454462969955,-1.0347554670713324,65.90881176819829,-11.769128665918949,2.01024548525524,53.53921119146605,-24.396587610604172,1.643575742394793,-7.740195919495985,-16.42146393608821,-0.21854742884778408,28.654489700867238,-8.434512107695525,1.6718325034196444
45,100,0.3,-0.5913885060874824,-9.036557628161335,-11.008770014755632,-1.6215133548383371,20.99887283438946,-16.1585698173868,1.264998756095003,33.13374136113217,-11.038811389708725,1.700795615185651,-0.5776300862869843,-12.034539303631842,0.038164843114200084,7.9488653135586285,-9.585087785730384,0.844934660157775
30,0,0.3,-0.662096127808429,-13.24171528863899,-13.307572022413527,-1.183314574726703,36.12988579899796,-9.954719469283557,1.8504859435596728,37.87383952643888,-13.826604021432388,1.8634918686441577,3.975305394870854,-8.810225186626507,0.3220978476608702,-0.6286636816022928,-22.722121555012052,0.0459895575606844
45,50,0.5,-0.6622794542205144,-14.161309669929324,-17.053650639960217,-0.9062789500946534,42.022836458576876,-19.26337892067983,1.5319192212292057,43.81937374928337,-23.18388023504059,1.4235018756743638,-7.857977591403453,-17.57548863153261,-0.2687304416198748,13.229908380257616,-17.2112279870129,0.8473979270586369
10,0,0.3,-0.6698112090112995,-11.671419386603288,-16.48834925562347,-0.8789381564180004,24.016471090848725,-19.478620192410844,1.2568264662045665,41.7334160492111,-14.533960149006674,2.201445764802195,-8.590789365186325,-16.161822990194597,-0.4884622223537034,2.8129723862406975,-16.66195020272876,0.30258087534810796
14,50,0.5,-0.6788010038437967,-17.685738228335346,-21.355262242127015,-0.8973795919083717,76.64456793038765,-13.98839524441563,2.060718514766951,68.2312321775363,-18.02424163748618,2.1678972894166786,0.7215764739184172,-22.34443739519222,0.1448212756562368,6.82441258689086,-20.932136882493758,0.48215425628669056
30,50,0.5,-0.7149045274784755,-16.020859928235254,-17.09702345167573,-1.0642179101809113,54.727139182978576,-12.886527345077015,1.7874226355582996,63.858207871738884,-18.793591177479595,1.8927787162892016,4.855034845002382,-13.15367604594334,0.3184381455855991,2.2620230127356367,-25.751854795730868,0.2460279047651414
10,200,0.8,-0.7170554802506444,0.0,0.0,0.0,40.488664383228645,-24.765493695773987,1.2364527517780983,66.11364525850148,-32.52602653272173,1.726029635198485,-20.141912887712866,-30.47149643318887,-0.5359387747654796,14.859290237856527,-11.60544201682605,1.127228177232956
90,200,0.8,-0.74512009175709,0.0,0.0,0.0,23.500990787658683,-30.79659062863613,0.8301229541263736,75.04679647042477,-30.061122321879484,1.5426243775166568,-21.33872781932322,-38.90968075963222,-0.3830254869368263,20.9811580352935,-8.70473139429736,1.6426596259243926
20,50,0.5,-0.817158128626241,-18.749212760081903,-20.754502559465003,-1.1388542572547737,59.62898862960546,-15.563806285483173,1.976683155609478,48.79434883675926,-25.84406558781105,1.5966793206746375,9.923042618328681,-14.907808583030535,0.5627195810491679,3.9865241748179514,-25.69711566403422,0.3342717538257706
60,50,0.8,-0.8198276128343386,-19.75117543708912,-26.49789537640067,-1.0024366437366212,89.41872162522584,-14.36704418468091,2.0947145504168847,66.2211588066597,-32.083148013355846,1.5155818463747186,-15.624674733438704,-22.445912000405354,-0.36453209288838084,33.61996955550768,-9.121080385783642,1.6654744156016381
90,150,0.3,-0.8435743775252228,-1.809489392263619,-1.809489392263619,-1.9728804071726855,7.033094483911628,-20.424871160432325,0.5005075576681194,41.47373628045345,-12.66061018586636,1.8858806653100928,-7.05945111119517,-18.621731593725876,-0.2873463285877229,4.161094887082495,-8.257581100879008,0.5882015049844956
